Tipo,Map Name,Top Agents,Win %,Wins,Losses,K/D,ADR,ACS,DDΔ,HS%,Aces,Clutches,Thrifty,Flawless,Plants,Defuses
Mapa,Ascent,Chamber (100%),100,1,0,1.36,128.6,204.9,+6,52.2,0,0,0,1,0,0
Mapa,Haven,Clove (100%); Reyna (0%); Cypher (0%),25,1,3,0.82,139.9,214.2,-13,28.7,0,0,1,3,2,0
Mapa,Summit,Fade (0%); Yoru (0%); Jett (0%),0,0,3,0.61,100.8,160.8,-54,26.4,0,1,3,2,7,1
Mapa,Split,Neon (0%); Chamber (0%),0,0,2,1.24,162.5,243.9,+25,30.2,0,1,1,0,1,1
Mapa,Abyss,Jett (0%),0,0,4,0.62,123.8,170.7,-25,26.0,0,1,0,0,1,1
Mapa,Lotus,Skye (0%); Jett (0%),0,0,2,0.87,123.2,194.4,-25,37.1,0,0,0,2,6,0
Mapa,Sunset,Chamber (0%),0,0,1,0.5,73.2,109.0,-66,23.5,0,0,1,1,0,0
