Tipo,Agent,Funcao,Time Played,Matches,Win %,K/D,ADR,ACS,DDΔ,HS%,KAST,Kills,Deaths,Assists,Attack W/L,Attack Win %,Attack K/D,Defense W/L,Defense Win %,Defense K/D
Agente,Jett,Duelist,2.4 hrs,5,0.0,0.5,100.0,149.2,-62,26.0,54.0,48,96,11,23 - 37,38.3,0.56,12 - 28,30.0,0.41
Agente,Chamber,Sentinel,1.4 hrs,3,33.3,1.19,147.8,225.5,+14,40.9,71.2,50,42,5,11 - 14,44.0,0.89,16 - 18,47.1,1.42
Agente,Clove,Controller,1.1 hrs,2,50.0,0.88,154.4,223.6,+1,31.8,63.3,37,42,13,10 - 14,41.7,0.55,14 - 11,56.0,1.25
Agente,Neon,Duelist,0.9 hrs,2,0.0,0.62,105.4,147.4,-45,19.5,65.0,20,32,9,5 - 11,31.2,0.47,9 - 15,37.5,0.76
Agente,Fade,Initiator,0.6 hrs,1,0.0,0.44,63.2,99.9,-59,36.4,73.1,8,18,5,6 - 7,46.2,0.33,6 - 7,46.2,0.56
Agente,Skye,Initiator,0.6 hrs,1,0.0,1.17,146.2,233.8,+6,36.6,84.6,21,18,11,4 - 9,30.8,0.73,8 - 5,61.5,1.86
Agente,Yoru,Duelist,0.6 hrs,1,0.0,0.8,118.6,190.4,-29,22.2,66.7,16,20,1,6 - 6,50.0,1.11,5 - 7,41.7,0.55
Agente,Reyna,Duelist,0.4 hrs,1,0.0,0.75,123.9,187.9,-30,24.3,57.9,12,16,6,2 - 10,16.7,0.27,4 - 3,57.1,1.8
Agente,Cypher,Sentinel,0.4 hrs,1,0.0,1.47,207.6,331.0,+70,31.1,73.7,22,15,5,4 - 8,33.3,1.3,2 - 5,28.6,1.8
