Tipo,Agent,Funcao,Time Played,Matches,Win %,K/D,ADR,ACS,DDΔ,HS%,KAST,Kills,Deaths,Assists,Attack W/L,Attack Win %,Attack K/D,Defense W/L,Defense Win %,Defense K/D
Agente,Phoenix,Duelist,4.7 hrs,9,33.3,0.8,143.7,204.0,-16,24.1,68.4,123,153,76,49 - 45,52.1,0.8,40 - 59,40.4,0.81
Agente,Chamber,Sentinel,4.4 hrs,8,37.5,1.2,157.9,244.1,+27,26.6,70.7,147,122,25,48 - 51,48.5,1.45,36 - 39,48.0,0.91
Agente,Clove,Controller,2.7 hrs,5,40.0,1.07,166.4,254.3,+13,34.2,76.8,97,91,38,18 - 38,32.1,0.96,37 - 19,66.1,1.21
Agente,Sova,Initiator,2.4 hrs,5,40.0,0.93,126.5,181.7,+3,33.8,73.8,65,70,23,31 - 29,51.7,1.05,20 - 23,46.5,0.77
Agente,Sage,Sentinel,2.2 hrs,4,25.0,0.81,121.2,180.2,-24,35.9,66.3,55,68,27,23 - 25,47.9,0.74,17 - 24,41.5,0.9
Agente,Skye,Initiator,1.3 hrs,3,33.3,0.68,125.7,168.1,-23,28.6,62.5,30,44,25,10 - 12,45.5,0.67,13 - 21,38.2,0.69
Agente,Jett,Duelist,0.6 hrs,1,0.0,1.11,173.4,252.4,+25,36.9,75.0,20,18,7,6 - 6,50.0,1.0,5 - 7,41.7,1.22
Agente,Vyse,Sentinel,0.5 hrs,1,0.0,0.75,138.7,197.2,-23,38.7,68.4,12,16,4,6 - 6,50.0,0.89,0 - 7,0.0,0.57
Agente,Iso,Duelist,0.4 hrs,1,0.0,0.89,166.1,265.3,-5,43.8,61.1,16,18,1,2 - 4,33.3,1.0,3 - 9,25.0,0.83
