Tipo,Map Name,Top Agents,Win %,Wins,Losses,K/D,ADR,ACS,DDΔ,HS%,Aces,Clutches,Thrifty,Flawless,Plants,Defuses
Mapa,Ascent,Phoenix (100%),66.7,2,1,1.04,173.3,245.9,+20,26.9,0,1,1,2,1,0
Mapa,Split,Skye (33%),42.9,3,4,1.01,153.1,225.1,+8,26.2,0,1,2,7,8,0
Mapa,Sunset,Phoenix (50%),40.0,2,3,1.04,148.7,218.1,+16,31.8,0,2,1,5,10,1
Mapa,Summit,Sage (50%),40.0,2,3,0.94,143.9,212.5,-3,33.6,0,0,3,4,1,0
Mapa,Haven,Sova (50%); Clove (0%); Phoenix (0%),28.6,2,5,0.89,147.6,220.2,-4,32.0,0,1,3,8,13,3
Mapa,Abyss,Sova (50%); Chamber (0%),14.3,1,6,0.8,122.1,182.3,-21,27.2,0,0,0,3,13,1
Mapa,Lotus,Chamber (0%); Sage (0%); Clove (0%),0.0,0,3,1.02,146.1,220.9,0,33.8,0,3,0,2,8,2
